RDD, TF, n, Tardiness BestFirst, Runtime BestFirst, Tardiness Greedy, Runtime Greedy, Tardiness Exact, Runtime Exact, Epsilon, Tardiness Approx, Runtime Approx, Epsilon, Tardiness Approx, Runtime Approx, Epsilon, Tardiness Approx, Runtime Approx, Epsilon, Tardiness Approx, Runtime Approx
0.2, 0.6, 95, N/A, N/A, , 30, 46009.0, 37286, 0.1, , 0, 0.5, , 30, 1.0, , 30, 2.0, , 30
0.2, 0.8, 10, N/A, N/A, , 30, 1569.0, 197, 0.1, , 0, 0.5, , 0, 1.0, , 30, 2.0, , 0
0.2, 0.8, 100, N/A, N/A, , 0, 105906.0, 36895, 0.1, , 30, 0.5, , 0, 1.0, , 0, 2.0, , 30
0.2, 0.8, 15, N/A, N/A, , 30, 2590.0, 223, 0.1, , 0, 0.5, , 30, 1.0, , 30, 2.0, , 0
0.2, 0.8, 20, N/A, N/A, , 30, 4999.0, 303, 0.1, , 0, 0.5, , 30, 1.0, , 30, 2.0, , 0
0.2, 0.8, 25, N/A, N/A, , 0, 5896.0, 330, 0.1, , 30, 0.5, , 0, 1.0, , 0, 2.0, , 30
0.2, 0.8, 30, N/A, N/A, , 30, 13769.0, 484, 0.1, , 0, 0.5, , 0, 1.0, , 0, 2.0, , 30
0.2, 0.8, 35, N/A, N/A, , 30, 10768.0, 673, 0.1, , 30, 0.5, , 30, 1.0, , 0, 2.0, , 30
0.2, 0.8, 40, N/A, N/A, , 30, 16005.0, 956, 0.1, , 30, 0.5, , 0, 1.0, , 30, 2.0, , 0
0.2, 0.8, 45, N/A, N/A, , 30, 23477.0, 1818, 0.1, , 0, 0.5, , 0, 1.0, , 30, 2.0, , 30
0.2, 0.8, 5, N/A, N/A, , 0, 396.0, 162, 0.1, , 0, 0.5, , 0, 1.0, , 0, 2.0, , 30
0.2, 0.8, 50, N/A, N/A, , 0, 25834.0, 1470, 0.1, , 30, 0.5, , 0, 1.0, , 30, 2.0, , 30
0.2, 0.8, 55, N/A, N/A, , 30, 37149.0, 4123, 0.1, , 30, 0.5, , 30, 1.0, , 30, 2.0, , 0
0.2, 0.8, 60, N/A, N/A, , 0, 36349.0, 3936, 0.1, , 30, 0.5, , 0, 1.0, , 0, 2.0, , 30
0.2, 0.8, 65, N/A, N/A, , 0, 47499.0, 5252, 0.1, , 30, 0.5, , 30, 1.0, , 30, 2.0, , 30
0.2, 0.8, 70, N/A, N/A, , 0, 42997.0, 10652, 0.1, , 30, 0.5, , 0, 1.0, , 30, 2.0, , 0
0.2, 0.8, 75, N/A, N/A, , 0, 54048.0, 2996, 0.1, , 0, 0.5, , 0, 1.0, , 30, 2.0, , 0
0.2, 0.8, 80, N/A, N/A, , 0, 62435.0, 13279, 0.1, , 30, 0.5, , 0, 1.0, , 0, 2.0, , 0
0.2, 0.8, 85, N/A, N/A, , 30, 55352.0, 8014, 0.1, , 0, 0.5, , 30, 1.0, , 0, 2.0, , 0
0.2, 0.8, 90, N/A, N/A, , 30, 78086.0, 12498, 0.1, , 30, 0.5, , 30, 1.0, , 0, 2.0, , 0
