RDD, TF, n, Tardiness BestFirst, Runtime BestFirst, Tardiness Greedy, Runtime Greedy, Tardiness Exact, Runtime Exact, Epsilon, Tardiness Approx, Runtime Approx, Epsilon, Tardiness Approx, Runtime Approx
0.4, 0.4, 15, N/A, N/A, 629.0, 3764, 476.0, 3493, 0.5, 477.0, 27105, 2.0, 477.0, 29334
0.4, 0.4, 20, N/A, N/A, 578.0, 8041, 364.0, 20720, 0.5, 364.0, 178415, 2.0, 364.0, 182662
0.4, 0.4, 25, N/A, N/A, 1399.0, 15209, 1183.0, 99086, 0.5, 1183.0, 976016, 2.0, 1183.0, 941170
0.4, 0.4, 30, N/A, N/A, 1355.0, 24605, 754.0, 65354, 0.5, 754.0, 596355, 2.0, 754.0, 632225
0.4, 0.4, 35, N/A, N/A, 2050.0, 40267, 1610.0, 324636, 0.5, 1610.0, 3134444, 2.0, 1610.0, 3065445
0.4, 0.4, 40, N/A, N/A, 4354.0, 88485, 2953.0, 775705, 0.5, 2953.0, 7755938, 2.0, 2953.0, 6758508
0.4, 0.4, 45, N/A, N/A, 6490.0, 84118, 3718.0, 2168336, 0.5, 3723.0, 25207893, 2.0, 3739.0, 29836043
0.4, 0.4, 5, 66.0, 53910, 66.0, 542, 66.0, 933, 0.5, 66.0, 6866, 2.0, 66.0, 4909
0.4, 0.4, 50, N/A, N/A, 9483.0, 114416, 6546.0, 6257625, 0.5, 6546.0, 60288350, 2.0, 6557.0, 53991903
0.4, 0.4, 55, N/A, N/A, 4380.0, 154111, 3588.0, 798142, 0.5, 3588.0, 8021876, 2.0, 3588.0, 8521976
0.4, 0.4, 60, N/A, N/A, 6632.0, 197450, 4053.0, 6118031, 0.5, 4053.0, 64370712, 2.0, 4063.0, 61575570
0.4, 0.4, 65, N/A, N/A, 9780.0, 243409, 5096.0, 7122086, 0.5, 5096.0, 72548054, 2.0, 5107.0, 59340644
0.4, 0.4, 70, N/A, N/A, 9175.0, 338429, 4707.0, 16070406, 0.5, 4708.0, 164536870, 2.0, 4708.0, 155541085
0.4, 0.4, 75, N/A, N/A, 11158.0, 380714, 6066.0, 3228923, 0.5, 6068.0, 35311036, 2.0, 6091.0, 36750169
0.4, 0.4, 80, N/A, N/A, 16032.0, 443148, 9267.0, 15890183, 0.5, 9270.0, 170603099, 2.0, 9270.0, 166700960
0.4, 0.4, 85, N/A, N/A, 11477.0, 514556, 7504.0, 14814989, 0.5, 7505.0, 152534700, 2.0, 7505.0, 163037532
0.4, 0.4, 90, N/A, N/A, 11684.0, 632828, 7529.0, 222674563, 0.5, 7539.0, 2634341314, 2.0, 7551.0, 2318207902
0.4, 0.4, 95, N/A, N/A, 17610.0, 723692, 11123.0, 17869563, 0.5, 11123.0, 190355786, 2.0, 11123.0, 141346425
0.4, 0.6, 10, 664.0, 4683747684, 727.0, 1475, 664.0, 2680, 0.5, 666.0, 18823, 2.0, 666.0, 10631
0.4, 0.6, 100, N/A, N/A, 73373.0, 844583, 40667.0, 557670028, 0.5, 40683.0, 10037534217, 2.0, 40731.0, 6576865483
0.4, 0.6, 15, N/A, N/A, 1564.0, 5300, 1130.0, 19546, 0.5, 1130.0, 129655, 2.0, 1130.0, 85894
0.4, 0.6, 20, N/A, N/A, 4596.0, 8161, 2814.0, 60927, 0.5, 2816.0, 612529, 2.0, 2824.0, 508683
0.4, 0.6, 25, N/A, N/A, 5460.0, 13462, 3222.0, 57434, 0.5, 3226.0, 590603, 2.0, 3286.0, 546270
0.4, 0.6, 30, N/A, N/A, 4053.0, 24365, 2649.0, 175464, 0.5, 2651.0, 1333571, 2.0, 2651.0, 8535710
0.4, 0.6, 35, N/A, N/A, 8054.0, 39514, 4062.0, 158899, 0.5, 4062.0, 1614085, 2.0, 4126.0, 1816805
0.4, 0.6, 40, N/A, N/A, 14328.0, 66288, 9779.0, 716976, 0.5, 9779.0, 8164151, 2.0, 9822.0, 4938269
0.4, 0.6, 45, N/A, N/A, 15630.0, 88364, 9363.0, 2059974, 0.5, 9363.0, 26840922, 2.0, 9367.0, 13597883
